ticker,rs_1m,rs_3m,rs_6m,above_50d,above_200d,range_pos_20d,move_1m_sigma,vol_20d,drawdown_1y,volume_surge,composite
WMT,-0.0544106563596235,-0.1070188612126024,-0.27353699208256854,-0.027485327809858018,-0.09717021753459676,0.6356594098756232,-0.7849858481340574,0.012487616291711617,-0.20279046119148947,1.0453703618542374,0.41625128030044384
VNT,-0.0385165370950874,0.029266058396783867,-0.27146515204427524,-0.02455652184131807,-0.08816014584497811,0.04159628696669774,-0.5990384571115429,0.015496564825736126,-0.2772552771044129,0.8623122866538573,0.4161147149197678
CWT,-0.04110809880086952,0.03520557982030126,-0.07406328313063759,-0.049646639522228586,0.036568811761549025,0.0,-0.8545934032079049,0.00954979818014097,-0.09046123909923587,0.9498342798984989,0.41567087743257086
IWM,-0.04635610048129146,-0.05638154451695909,-0.007552477404244584,-0.035095492574496956,0.038716392567156976,0.011796141553698644,-1.4965212518343007,0.0072848737195286475,-0.06636728954051119,0.9839301234022563,0.4152270399453738
ALGT,0.01073598353653471,-0.24431570715330853,-0.17406547109672965,-0.1215864991951694,-0.125286736850297,0.5642789919011577,0.008057411419948432,0.02705286790900684,-0.3440751824434294,0.9646173195583375,0.41509047456469783
CORZ,-0.029412582337241755,-0.4030793612842991,-0.06893426000961456,-0.08606439677828326,-0.09007453963150258,0.7249070078435321,-0.15571485162381365,0.04178846782995753,-0.38305898953169093,0.9345763557483068,0.41495390918402186
LPLA,-0.07710232745183532,0.09701543123578138,-0.008600894357212674,-0.059981865542286905,-0.005480576757830313,0.0,-0.9798455811030924,0.01601124735384843,-0.16334218200634243,0.8003123539116562,0.41491976783885287
BAX,-0.1342308675588052,0.12672658859856378,0.209226419935727,-0.0880073725480689,0.10819525907921212,0.0,-1.2136173871113234,0.012619558365161083,-0.19545696872484697,0.8490990629942348,0.4143052236258108
IJH,-0.04020648555402173,-0.05401074663337979,-0.07093000801442262,-0.035067065418073695,0.0172661376094585,0.04819451849400556,-1.4268065691910943,0.006870837410007548,-0.06947745264450766,0.9984973722080392,0.41413451689996583
BAC,-0.0718709658109904,0.012444799473343426,0.08015482950084762,-0.06413561625728947,0.055383933222210135,0.0,-1.3464337918183815,0.015004410295678505,-0.10469765980745782,1.0908476241073954,0.41410037555479695
DASH,-0.11429299651070668,0.0922821474077451,0.050917653228784054,-0.060576584160602964,0.023310912152522123,0.0,-1.1062666267126562,0.022123345302234632,-0.3151841799919758,0.875598887983651,0.4139638101741208
IEF,-0.014552378570105606,-0.04777835514743778,-0.192728896570053,-0.017321217754203477,-0.027242509123868608,0.028626877127515188,-1.741614050350223,0.0031347614433851006,-0.0516526640464412,1.0684786454318373,0.4138613861386139
KLAC,-0.04531087440428816,-0.3373649335641684,0.01319972553009241,-0.081168080555313,0.01742796276496117,0.4454212330120659,-0.2574221902315603,0.030458644625089536,-0.4127139903299869,0.8078815136894462,0.4137931034482759
PPTA,-0.0903394177566802,-0.06442826390960932,-0.28720463742119595,0.0425451619865338,-0.12532603598669734,0.16186241800198686,-0.5347196833077867,0.030616230796440415,-0.37560454033001944,0.89370528279016,0.4137248207579378
EZU,-0.03324787818433539,-0.03661240662480947,-0.04885806882399679,-0.02378935060391385,0.02802641403653161,0.0,-1.0271853937615636,0.006890180300985304,-0.053201754623022124,1.2411056560893008,0.41334926596107885
CLBT,0.04339096118715624,-0.11433058573096133,-0.3775416378736858,-0.12590832496601967,-0.19512364580773311,0.45967725809354315,0.1543380937585127,0.027913002182236708,-0.4059304599781981,0.900381923227139,0.41317855923523383
MIAX,-0.034998101194873454,0.010258495271204593,-0.16645489135621516,-0.09474065279920363,-0.10000833154013244,0.16916182881603908,-0.3759567030375198,0.02752160372381967,-0.3175580434307712,0.9348508914572081,0.41304199385455787
CDP,-0.056685174544209405,0.014672597188616132,-0.05292812889791998,-0.06278109643394525,0.05686750181053646,0.01857627919336266,-1.3507867890241327,0.00819416754285751,-0.10352014508383478,0.8937581518935598,0.4129054284738819
OUST,-0.1154793342932886,-0.26738993441644476,0.5037320135680459,-0.08907095404696641,0.14533965872566745,0.40142085685053563,-0.35305967561199486,0.03305478081027744,-0.4393794149003709,0.5647445444943963,0.41283714578354386
SPMD,-0.04005384108330112,-0.05344516246681741,-0.07072206875468168,-0.03518985781921158,0.017303781219547565,0.04281331295715169,-1.4085029558969484,0.006977546359149515,-0.06949080073002223,0.9019808556116263,0.4126322977125299
NGG,-0.038272078902789164,-0.05325299144689455,-0.23902131189763132,-0.041071570153055514,-0.06119968139937437,0.29968002993071186,-0.8408692369099959,0.01086650279931634,-0.16087246396479682,0.9565405915410308,0.4126322977125299
VGK,-0.03400360906214983,-0.020700076758561226,-0.06547615369934445,-0.025854998776903337,0.021269245939684156,0.0,-1.2215577463852227,0.006809768197059208,-0.05343924483814455,0.9590450174939008,0.41259815636736086
HIMU,-0.019611275642784642,-0.05888797023675363,-0.16787986372626174,-0.0260558556366689,-0.01999059057680952,0.0639586422648077,-2.2041940377718925,0.0035838150712034942,-0.049784973206594585,1.350322199807859,0.4124957323318538
AVY,-0.06944795396546366,0.04302901376353363,-0.11898925218623035,-0.016898694870368103,-0.020271238811888526,0.0,-1.0041778184443462,0.012353149329564252,-0.1359486788069425,1.3092120153731064,0.4122567429156708
EME,-0.0595300368188858,-0.12295312591633867,-0.16119778377894645,-0.028146428146604285,-0.01990769931377745,0.4052535395072298,-0.4330404477275532,0.024331597974000425,-0.20479206688935592,0.8740916769393333,0.4120860361898259
BKGI,-0.0157191867903691,-0.03475072596304529,-0.16907254146186645,-0.0268907499762413,-0.00010819757684898956,0.013333638509114584,-0.9314666180249007,0.005711671499803224,-0.05574836832732055,1.8542694396669626,0.4120177534994879
RDW,-0.12428783841917379,-0.27158835184919317,-0.0452957295487737,0.0036069865584991145,-0.008214114989512078,0.27272697716708916,-0.5378399796886846,0.03624980365167264,-0.5853281880578028,0.6997216049045812,0.4118811881188119
VTEB,-0.015581857195811843,-0.05498599070526633,-0.18310296903295564,-0.020782932616275285,-0.024361115853273496,0.04110749042644277,-2.565202998088687,0.0025994123560572017,-0.039388609895176674,1.602092433384442,0.41167634004779785
MELI,-0.053948698849445864,0.07308422902488232,-0.088295933601658,-0.04797802900394765,-0.035407413424087375,0.0,-0.6115589176672263,0.017979047924954472,-0.2881675067790913,1.0853740173363258,0.41157391601229093
RF,-0.04929079580026341,-0.014113799124532367,-0.007679949079471671,-0.065489432564389,0.012187806107166965,0.015228765510510743,-0.9565019638183142,0.012958534782500433,-0.11144919417853305,0.8739790051379943,0.41119836121543185
MS,-0.04479765713454509,-0.10728498010596643,0.13108125027367157,-0.05323943893706251,0.05822990374796744,0.010457753607506125,-0.6637956071505907,0.014843032188725977,-0.10875016690438866,0.885569755041918,0.41119836121543185
SYY,-0.03177021467049679,-0.008915457308080743,-0.17887999574462166,-0.04291792041860221,0.001291548955285604,0.06308052055407246,-0.6965318421232051,0.014152056485297528,-0.12051513300826289,1.0476968810637872,0.4109935131444179
DCO,-0.15983136248592666,-0.007042033060289832,0.1693330957500605,-0.07531831787710996,0.16506582550510074,0.06445673640562423,-1.2863673512078027,0.02350095065335313,-0.19678228122660968,0.8569381413443169,0.4108569477637419
