ticker,edge,horizon,p10,p25,p50,p75,p90,hit_rate,hit_alpha,hit_self,hit_rate_dc,hit_alpha_dc,hit_self_dc,n_obs,n_episodes,sector,industry,name,beta
BUD,0.11053729795069822,120d,-0.06775152371640597,-0.01152892965496391,0.15902760458596532,0.26621150074098887,0.3802934182873451,0.7,0.533,0.633,0.8,0.6,0.7,30,10,Consumer Staples,Beverages - Brewers,Anheuser-Busch InBev SA/NV,0.32
CROX,0.10827613206421294,120d,-0.22292742472246407,0.008615068002788773,0.11546155477718889,0.18849878541851928,0.3323420483775566,0.7666666666666667,0.6,0.767,0.7,0.6,0.7,30,10,Consumer Discretionary,Footwear & Accessories,"Crocs, Inc.",1.16
NTR,0.10822831980474101,120d,-0.08486565385887446,-0.029383344663287875,0.1640160925766191,0.2169312151470234,0.3227241736378419,0.7,0.7,0.633,0.7,0.7,0.7,30,10,Materials,,Nutrien Ltd.,0.36
AMT,0.10564840822255772,120d,-0.07684972187945245,-0.03578972327452046,0.09138389244738099,0.16407759553173912,0.20737902323452906,0.7,0.5,0.733,0.7,0.5,0.7,30,10,Real Estate,REIT - Specialty,American Tower Corporation,0.05
WING,0.10306130398631674,120d,-0.4590282061873096,-0.36935861457784314,-0.03507800103531877,0.14499238117351604,0.2084606073609849,0.43333333333333335,0.3,0.567,0.4,0.3,0.5,30,10,Consumer Discretionary,,Wingstop Inc.,1.06
CAR,0.10210408014916234,120d,-0.3226418519597538,-0.26525061559693275,0.015519579196169142,0.5828622395385359,0.9854422600794869,0.5,0.467,0.533,0.6,0.5,0.6,30,10,Industrials,Rental & Leasing Services,"Avis Budget Group, Inc.",1.51
STM,0.10199500842525644,120d,-0.3355848679785402,-0.19972239302876205,0.0611160441952332,0.19491521009631668,1.1137217516689657,0.5333333333333333,0.5,0.567,0.7,0.6,0.7,30,10,Technology,,STMicroelectronics N.V.,1.97
ALHC,0.10123702712696558,120d,-0.23459281014143119,-0.07723534633176962,0.2993339024494803,0.5682828220508116,0.7259086681379752,0.7,0.7,0.6,0.7,0.7,0.7,30,10,Healthcare,Healthcare Plans,"Alignment Healthcare, Inc.",0.28
BLSH,0.09968949356136153,120d,-0.3217894503169755,-0.28902072224457176,-0.22178396204956607,-0.2090389874323153,-0.11727481403553963,0.0,0.0,0.833,0.0,0.0,0.5,6,2,Technology,Software - Infrastructure,Bullish,2.03
WPM,0.0984127065018906,120d,0.19354016996206083,0.24553169891189774,0.3393552578994655,0.431774949452163,0.49262730055863785,1.0,0.967,0.767,1.0,0.9,0.6,30,10,Materials,,Wheaton Precious Metals Corp.,0.72
MLTX,0.09718437434857596,120d,-0.25811211635650205,-0.21755182835960526,-0.0021392853547754775,0.1829582640335124,0.578213245961933,0.5,0.4,0.567,0.3,0.3,0.4,30,10,Biotech,,MoonLake Immunotherapeutics,0.92
MOS,0.09673766963522479,120d,-0.1527525722021592,-0.09926785424935164,0.0053183892607043814,0.2553977151836259,0.33999929397413625,0.5333333333333333,0.467,0.733,0.5,0.4,0.7,30,10,Materials,,The Mosaic Company,0.77
FMC,0.09550848768369763,120d,-0.3709595277156103,-0.3294944419957875,-0.028870894571403516,0.06583584827027972,0.13623814086235403,0.4666666666666667,0.233,0.533,0.4,0.1,0.4,30,10,Materials,,FMC Corporation,1.05
HDB,0.094394600223492,120d,-0.3060931272358818,-0.09910647911010759,0.10056977107735243,0.15648436498725599,0.26043665443280506,0.6666666666666666,0.6,0.667,0.5,0.5,0.5,30,10,Financials,,HDFC Bank Limited,0.48
PSKY,0.09229401283483851,120d,-0.295777761816516,-0.16194132525889252,0.05428539324730164,0.1271156575145172,0.21853645088343876,0.5333333333333333,0.467,0.567,0.5,0.4,0.5,30,10,Communication Services,,Paramount Skydance Corporation,0.6
EQNR,0.08981891902182215,120d,-0.005880297692300282,0.04778023610849813,0.10707263898427177,0.14810051258952917,0.6527261452152534,0.8666666666666667,0.767,0.833,0.7,0.6,0.7,30,10,Energy,,Equinor ASA,0.16
NFG,0.089716711964691,120d,-0.014798173239070855,0.1329877421660105,0.21234236303965626,0.2900746223215746,0.32346615635351644,0.8666666666666667,0.8,0.767,0.7,0.6,0.5,30,10,Energy,,National Fuel Gas Company,0.25
SEB,0.08856458660697847,120d,-0.15121551117613757,-0.07915018132605622,0.0650492603262422,0.29560909979476513,0.6201758939739316,0.5,0.5,0.567,0.6,0.6,0.6,30,10,Industrials,,Seaboard Corporation,0.21
STNE,0.08741535100402031,120d,-0.2386640506305939,-0.197127408573249,-0.0069888206376992335,0.3834062317317543,0.4481997612086228,0.4666666666666667,0.5,0.633,0.6,0.6,0.8,30,10,Technology,,StoneCo Ltd.,1.18
LRN,0.08499577353731391,120d,-0.11880882475811833,-0.013539647387982495,0.3612824193084654,0.4891186325551149,0.5189997285818361,0.7333333333333333,0.733,0.7,0.7,0.7,0.7,30,10,Consumer Staples,,"Stride, Inc.",0.33
IONS,0.08282243811027423,120d,-0.19405550742070304,-0.06481273155716702,0.05582529728423047,0.23413862009419817,0.32448953025369226,0.6666666666666666,0.433,0.7,0.7,0.4,0.7,30,10,Biotech,,"Ionis Pharmaceuticals, Inc.",0.65
