ticker,persistence,avg_regime_alpha,resolved_signals,hit_rate
PDFS,19,,,
UCTT,19,-0.14516,1.0,0.0
RAL,19,-0.066857,8.0,0.375
CNR,19,0.012397785714285714,14.0,0.5714285714285714
TALO,19,,,
RELY,19,,,
CRGY,19,,,
BRZE,19,0.11898083333333333,6.0,0.6666666666666666
NTR,18,,,
VSTS,18,,,
ALKS,18,-0.18501875,4.0,0.0
XPO,18,-0.1211795,2.0,0.0
FET,18,,,
AMAT,18,-0.163277,1.0,0.0
HCC,18,0.09618761111111111,18.0,0.6111111111111112
WBD,18,-0.03960292307692308,13.0,0.23076923076923078
KVYO,18,-0.0112988125,16.0,0.4375
OIH,18,0.0186805,2.0,1.0
AXSM,18,-0.149364,9.0,0.0
PNRG,18,,,
CXW,18,,,
DK,18,,,
ATI,18,0.078806,1.0,1.0
ENLT,18,,,
ETOR,18,,,
REMX,18,-0.091426,1.0,0.0
COHR,18,-0.1542965,2.0,0.0
BRUN,18,-0.341788,1.0,0.0
BROS,18,-0.195783875,8.0,0.125
CON,18,-0.097055,1.0,0.0
SAIA,18,-0.243647,4.0,0.0
AIP,18,,,
IRDM,18,,,
ADTN,18,,,
AEIS,18,-0.02573,1.0,0.0
ZD,17,,,
WLY,17,-0.145206,1.0,0.0
AFRM,17,-0.145299,10.0,0.1
HTFL,17,-0.08533516666666667,12.0,0.16666666666666666
VSH,17,,,
LINC,17,,,
CDNA,17,,,
HPE,17,-0.027898000000000003,3.0,0.6666666666666666
LEU,17,-0.102132,9.0,0.3333333333333333
CF,17,-0.0337646,5.0,0.2
CELH,17,,,
CC,17,-0.11002833333333334,3.0,0.0
VRT,17,,,
AMN,17,,,
LION,17,,,
LINE,17,-0.23203475,4.0,0.0
AOSL,17,-0.071286,1.0,0.0
APEI,17,,,
ANF,17,0.10998114285714286,7.0,0.7142857142857143
LULU,17,-0.0779494,5.0,0.2
MEOH,17,,,
Q,17,-0.10117944444444443,9.0,0.1111111111111111
EXTR,17,-0.11663,1.0,0.0
RBRK,17,-0.12968966666666668,9.0,0.2222222222222222
CRWD,17,-0.067827,1.0,0.0
CRDO,17,-0.2210883,10.0,0.1
NET,17,-0.029558454545454547,11.0,0.6363636363636364
ARM,17,-0.005644000000000003,2.0,0.5
MRVL,17,-0.034866,1.0,0.0
CLMT,17,,,
GPRE,17,,,
MKSI,17,-0.2065925,4.0,0.0
BHE,17,,,
PRMB,17,-0.220724,1.0,0.0
PLTR,17,-0.05236857142857143,7.0,0.14285714285714285
PTRN,17,-0.1329996,5.0,0.0
TTE,17,0.09580525,4.0,1.0
JAZZ,17,,,
DIOD,17,,,
PAYC,17,0.6217064999999999,2.0,1.0
EGO,16,0.137379,4.0,0.75
OXY,16,0.017782,1.0,1.0
DAN,16,,,
NSIT,16,,,
FCG,16,,,
NVCR,16,,,
USO,16,-0.0093,1.0,0.0
ASTH,16,,,
GLNG,16,,,
GLOB,16,-0.05914140000000001,5.0,0.4
GDDY,16,,,
COP,16,0.020904,1.0,1.0
COLD,16,-0.23307875,4.0,0.0
W,16,0.016847374999999998,16.0,0.625
VIST,16,,,
CAI,16,0.008560333333333335,12.0,0.25
HMY,16,0.159638,2.0,0.5
ACLS,16,-0.123682,1.0,0.0
SLVP,16,-0.010862125,8.0,0.5
PONY,16,-0.1424521,20.0,0.0
ENS,16,-0.30684,1.0,0.0
ESTC,16,0.1504760769230769,13.0,0.8461538461538461
AUGO,16,0.04562766666666667,3.0,0.6666666666666666
UNFI,16,,,
PLAB,16,,,
WT,16,,,
TMDX,16,,,
PLSE,16,-0.0787615,4.0,0.0
DVA,16,,,
DDOG,16,-0.209769,2.0,0.0
BA,16,-0.194452,1.0,0.0
ALK,15,-0.11849799999999999,2.0,0.0
DAVE,15,-0.033805875,8.0,0.5
LASR,15,,,
SIMO,15,,,
SLB,15,0.044046999999999996,2.0,1.0
DECK,15,-0.17642714285714287,7.0,0.0
DXPE,15,-0.08531133333333334,3.0,0.0
DLTR,15,-0.005340666666666666,3.0,0.3333333333333333
WING,15,-0.20792,1.0,0.0
RBLX,15,0.110666,1.0,1.0
CVSA,15,,,
WPM,15,0.18517,2.0,1.0
UNH,15,,,
KGC,15,0.0033348000000000023,5.0,0.4
RGLD,15,0.14461125,4.0,1.0
ATEN,15,,,
FISV,15,-0.035428,1.0,0.0
ARWR,15,0.083478,1.0,1.0
NBR,15,,,
COKE,15,-0.030362999999999994,5.0,0.2
ARCB,15,,,
VAC,15,-0.198674,1.0,0.0
MGY,15,0.001613,1.0,1.0
AAP,15,-0.192376,3.0,0.0
VIA,15,-0.013798666666666667,3.0,0.3333333333333333
LCID,15,-0.418877,4.0,0.0
GDXJ,15,0.011602999999999997,3.0,0.3333333333333333
RXO,15,-0.163958,1.0,0.0
MUSA,15,-0.12117957142857143,7.0,0.14285714285714285
DPZ,14,,,
INGM,14,-0.176538,1.0,0.0
INTA,14,-0.175715,1.0,0.0
KGS,14,,,
UNIT,14,,,
TPR,14,-0.12502075,8.0,0.375
TNK,14,,,
ATLC,14,,,
DB,14,-0.14442,1.0,0.0
TYRA,14,,,
WAY,14,0.110286,2.0,1.0
DOCU,14,0.0365584,5.0,0.6
HLF,14,-0.10840266666666666,3.0,0.0
HE,14,-0.34771833333333335,3.0,0.0
GSAT,14,,,
SRPT,14,0.0053639999999999955,7.0,0.42857142857142855
BZ,14,-0.034476375000000004,8.0,0.375
STNE,14,,,
AMTM,14,-0.09026716666666668,6.0,0.3333333333333333
SNOW,14,0.0008493333333333362,3.0,0.3333333333333333
HUBS,14,0.17890533333333333,6.0,1.0
AESI,14,,,
HOS,14,,,
CAMT,14,-0.039797,1.0,0.0
S,14,0.344866,1.0,1.0
EXEL,14,-0.027164,11.0,0.36363636363636365
PSX,14,,,
AMT,14,-0.0726745,2.0,0.0
MNDY,14,-0.026499399999999996,5.0,0.4
MTRN,14,-0.003532,1.0,0.0
GEV,14,-0.120942,1.0,0.0
VFC,14,-0.163321,2.0,0.0
CNQ,14,0.042189000000000004,3.0,1.0
RMBS,14,0.078427,1.0,1.0
FRPT,14,-0.001313500000000009,2.0,0.5
STRL,14,-0.2285905,2.0,0.0
NESR,14,,,
RDDT,14,-0.12451881818181819,11.0,0.0
FLKR,14,,,
NEM,14,0.278963,2.0,1.0
NOG,14,,,
PSKY,14,0.168587,1.0,1.0
ADEA,13,-0.144726,2.0,0.0
AAON,13,-0.273626,1.0,0.0
GOLD,13,0.001922,1.0,1.0
CHPY,13,-0.0651675,4.0,0.0
SENEA,13,-0.10155766666666666,3.0,0.0
CHKP,13,-0.030024000000000002,2.0,0.5
SCHL,13,,,
SIL,13,0.017625166666666667,6.0,0.6666666666666666
LMND,13,-0.10645925,4.0,0.25
AMRZ,13,-0.2527454,5.0,0.0
AMBA,13,-0.05160933333333334,6.0,0.5
LKQ,13,-0.230389,1.0,0.0
VPG,13,,,
SILJ,13,-0.01067942857142857,7.0,0.2857142857142857
VSEC,13,-0.27518966666666667,9.0,0.0
GOOGL,13,-0.09020133333333334,3.0,0.0
ROIV,13,,,
MXL,13,0.072037,1.0,1.0
NFG,13,,,
FETH,13,0.009385600000000001,10.0,0.3
NTSK,13,,,
NKTR,13,-0.189427,1.0,0.0
EVER,13,-0.245053,3.0,0.0
ARX,13,-0.067847,6.0,0.0
CRC,13,,,
RH,13,-0.07809100000000001,4.0,0.5
GDX,13,0.0757965,2.0,0.5
MOH,13,-0.24570175,4.0,0.0
CNM,13,-0.14098033333333335,3.0,0.0
CMG,13,-0.041648,4.0,0.5
GOOG,13,-0.09175733333333334,3.0,0.0
NVMI,13,-0.20963625,4.0,0.0
ETHA,13,0.009524299999999998,10.0,0.3
AVAV,13,-0.1010925,4.0,0.25
PRDO,13,,,
PRIM,13,-0.159796,1.0,0.0
ECPG,13,,,
EQIX,13,-0.07896049999999999,2.0,0.0
ETH,13,0.010541099999999998,10.0,0.3
TGT,13,,,
PANW,13,,,
DVN,13,-0.043746,1.0,0.0
PBR-A,13,,,
DG,13,-0.079844,2.0,0.0
PCVX,13,0.034572500000000006,2.0,1.0
PENG,13,,,
ZETA,13,0.01049125,4.0,0.5
TS,13,,,
INDV,13,-0.12616739999999999,5.0,0.0
WTTR,13,,,
WSM,12,-0.0264485,2.0,0.5
INBX,12,,,
IRTC,12,-0.1281785,2.0,0.0
