run_date,ticker,horizon,predicted_edge,sector,p10,p90
2026-06-01,LEN,60d,0.066080116130461,Consumer Discretionary,-0.2552596616426834,0.1286086100749893
2026-06-01,HAL,60d,0.0659080894718956,Energy,-0.174963236282482,0.1750992287462047
2026-06-01,NTNX,60d,0.064784741952959,Technology,-0.2648019608533857,0.3388275982072502
2026-06-01,SM,60d,0.0647195719730113,Energy,-0.2772090702196318,0.3625543172156901
2026-06-01,PGR,60d,0.0643872969927435,Financials,-0.0562587149262447,0.2334001233634289
2026-06-01,CPB,60d,0.0623134853056821,Consumer Staples,-0.1378902931030067,0.0643280892678843
2026-06-01,MCHI,60d,0.0618901491117317,Unknown,-0.1016972564871896,0.2002576011457015
2026-06-01,SATS,60d,0.0618581854311882,Communication Services,-0.1821678421858328,1.44366956761118
2026-06-01,ICLR,60d,0.0615976181893421,Healthcare,-0.1349497153338749,0.2066112676097559
2026-06-01,PSN,60d,0.0614839147660193,Technology,-0.3929787618690573,0.2947692310152659
2026-06-02,INSM,120d,0.5383480091007257,Healthcare,-0.0756050788247173,1.822117359602794
2026-06-02,ZETA,120d,0.4136897228921573,Technology,-0.4577461039521214,1.2920310757393876
2026-06-02,FSLR,120d,0.293270165074415,Energy Transition,-0.253603758230692,0.6895169759347788
2026-06-02,CGON,120d,0.2901402204467218,Biotech,-0.3136697355910146,0.8240544464936342
2026-06-02,FTAI,120d,0.2833080205971025,Industrials,-0.277596620879954,1.0820645235923656
2026-06-02,KRYS,120d,0.2766166756583419,Biotech,-0.3249759308665658,0.7678401395870522
2026-06-02,VKTX,120d,0.2677962138433806,Biotech,-0.4779328906814555,1.8533283915359584
2026-06-02,MMYT,120d,0.255194710395825,Consumer Discretionary,-0.1466916674726403,0.7294877547528401
2026-06-02,KRMN,120d,0.2329203094782889,Industrials,0.4742852389823724,0.9611775938353864
2026-06-02,TMDX,120d,0.2049448452073938,Healthcare,-0.3620089772384631,0.8705409873084394
2026-06-02,ZIM,120d,0.1964611388795023,Industrials,0.0558127137949448,1.105868365183968
2026-06-02,MEDP,120d,0.1816538469118137,Healthcare,-0.1261802755913749,0.7776462813999534
2026-06-02,TTAN,120d,0.1742772717359373,Technology,-0.2098951031988276,-0.0154128325145704
2026-06-02,ICLR,120d,0.1725641390690421,Healthcare,-0.3947046175288641,0.2456851394375306
2026-06-02,SRPT,120d,0.1721917348943722,Biotech,-0.6945199001466595,0.5612852658796004
2026-06-02,IP,120d,0.1713752902361861,Consumer Discretionary,-0.1777325540985669,0.4076114655790329
2026-06-02,ANF,120d,0.1669892518758323,Consumer Discretionary,-0.4661990664915045,1.068819425149994
2026-06-02,COGT,120d,0.1658606512652396,Biotech,-0.4888184970140232,1.9512005944771689
2026-06-02,HIMS,120d,0.1648666262848682,Healthcare,-0.3342697329357964,1.4666079357154582
2026-06-02,BROS,120d,0.1617030874347019,Consumer Discretionary,-0.065687596044335,0.3898200830765138
2026-06-02,HALO,120d,0.1595697370524921,Biotech,0.0662591066379544,0.5011095726862158
2026-06-02,TTD,120d,0.1550375518903003,Communication Services,-0.5341418121345289,0.3402449329242035
2026-06-02,GDDY,120d,0.1510971627918611,Technology,-0.3159662633762291,0.3985947494447098
2026-06-02,SOC,120d,0.147879631122211,Energy,-0.6488007437360135,0.6926951533862973
2026-06-02,GPK,120d,0.1444335816941809,Consumer Discretionary,-0.2981069707422066,0.1782875563176036
2026-06-02,RVMD,120d,0.1427634365150302,Healthcare,-0.2749396704242098,1.2730561115659191
2026-06-02,MTD,120d,0.1388948099341436,Healthcare,-0.1412790228871827,0.2654259997025431
